id_clima,id_municipio,fecha,cielo,t_max,t_min,prob_prec,velocidad_viento,direccion_viento
232,1035,2024-11-29,Cielo nublado,19.90,13.40,0.00,4.50,Noreste
233,1150,2024-11-26,Despejado,23.50,12.10,0.00,8.50,Suroeste
234,822,2024-11-26,Despejado,23.50,12.10,0.00,8.50,Suroeste
235,1150,2024-11-27,Despejado,24.90,12.40,0.00,9.30,Suroeste
236,822,2024-11-27,Despejado,24.90,12.40,0.00,9.30,Suroeste
237,1150,2024-11-28,Despejado,28.00,14.50,0.00,7.60,Suroeste
238,822,2024-11-28,Despejado,28.00,14.50,0.00,7.60,Suroeste
239,1150,2024-11-29,Cielo nublado,19.90,12.50,0.00,4.90,Noreste
240,822,2024-11-29,Cielo nublado,19.90,12.50,0.00,4.90,Noreste
241,1190,2024-11-26,Despejado,26.70,11.50,0.00,7.90,Norte
242,1190,2024-11-27,Despejado,26.10,11.50,0.00,7.50,Norte
243,1190,2024-11-28,Despejado,27.00,12.40,0.00,7.60,Norte
244,1190,2024-11-29,Despejado,27.60,13.30,0.00,7.80,Noreste
245,2262,2024-11-26,Despejado,23.50,8.10,0.00,9.30,Noreste
246,2262,2024-11-27,Despejado,25.10,8.40,0.00,5.40,Norte
247,2262,2024-11-28,Despejado,26.10,10.00,0.00,6.60,Noreste
248,2262,2024-11-29,Despejado,23.90,9.70,0.00,9.30,Noreste
249,623,2024-11-26,Despejado,21.90,6.90,0.00,8.30,Noroeste
250,623,2024-11-27,Despejado,23.20,8.20,0.00,6.40,Noroeste
251,623,2024-11-28,Despejado,24.30,9.20,0.00,6.80,Noroeste
252,623,2024-11-29,Despejado,22.10,8.60,0.00,7.20,Noroeste
253,962,2024-11-26,Despejado,23.40,12.10,0.00,8.40,Sur
254,962,2024-11-27,Despejado,24.80,12.70,0.00,9.00,Sur
255,962,2024-11-28,Despejado,28.20,14.60,0.00,7.40,Suroeste
256,962,2024-11-29,Medio nublado,19.50,12.60,0.00,4.80,Noreste
257,1246,2024-11-26,Despejado,23.30,7.20,0.00,7.90,Norte
258,1246,2024-11-27,Despejado,24.40,8.60,0.00,6.30,Norte
259,1246,2024-11-28,Despejado,25.60,10.10,0.00,7.10,Norte
260,1246,2024-11-29,Despejado,23.30,9.20,0.00,7.40,Norte
261,1506,2024-11-26,Despejado,22.20,10.50,0.00,8.50,Suroeste
262,1506,2024-11-27,Despejado,24.70,10.90,0.00,10.20,Suroeste
263,1506,2024-11-28,Despejado,28.20,12.80,0.00,7.70,Suroeste
264,1506,2024-11-29,Medio nublado,19.40,10.50,0.00,5.40,Noreste
265,111,2024-11-26,Despejado,20.90,5.80,0.00,9.40,Norte
266,111,2024-11-27,Despejado,24.00,6.70,0.00,4.50,Oeste
267,111,2024-11-28,Despejado,25.20,8.30,0.00,6.50,Norte
268,111,2024-11-29,Despejado,22.00,7.20,0.00,6.10,Noreste
269,1717,2024-11-26,Despejado,23.00,8.10,0.00,9.00,Norte
