id_municipio,id_estado,nombre_municipio
536,27,Jocotitlán
537,4,Atoyac
538,4,Tomatlán
539,7,Tototlán
540,8,Villa Hidalgo
541,31,Hualahuises
542,19,Atitalaquia
543,8,Santiago Tetepec
544,14,San Joaquín
545,8,Santiago Ixtayutla
546,4,Miahuatlán
547,2,San Cristóbal de las Casas
548,17,Culiacán
549,1,San Pedro
550,8,Santa María Colotepec
551,4,Orizaba
552,7,Tizapán el Alto
553,7,San Diego de Alejandría
554,3,Villa Hidalgo
555,9,Hermenegildo Galeana
556,1,Zaragoza
557,7,Valle de Juárez
558,7,Mezquitic
559,7,Tomatlán
560,19,Tlahuiltepa
561,27,Polotitlán
562,8,San Andrés Huaxpaltepec
563,3,Villa Juárez
564,4,Río Blanco
565,9,Tepanco de López
566,17,San Ignacio
567,30,Tetecala
568,12,Gustavo A. Madero
569,21,Matamoros
570,11,Hidalgo
571,4,Soteapan
572,11,Purépero
573,27,Chapa de Mota
574,19,Actopan
575,6,Canelas
576,21,Abasolo
577,2,Ocozocoautla de Espinosa
578,27,Acolman
579,32,Centla
580,2,Tumbalá
581,27,Nezahualcóyotl
582,4,Villa Aldama
583,12,Venustiano Carranza
584,8,San Francisco Chapulapa
585,8,Santa Cruz Xoxocotlán
586,14,Tequisquiapan
587,8,Santa María Atzompa
588,28,Monte Escobedo
589,4,Oluta
590,27,Apaxco
591,8,Santo Domingo Ozolotepec
592,19,Nopala de Villagrán
593,5,Ignacio Zaragoza
594,2,Huixtán
595,21,Valle Hermoso
596,8,Santiago Jamiltepec
597,29,Opodepe
598,28,Cañitas de Felipe Pescador
599,27,Nopaltepec
600,30,Tlaltizapán de Zapata
601,1,Múzquiz
602,6,San Juan del Río
603,3,Tamasopo
604,8,San Felipe Usila
605,8,San Juan Ihualtepec
606,27,Tonatico
607,8,Santa María Zacatepec
608,11,Briseñas
609,9,Acajete
610,8,Santiago Camotlán
611,10,Baca
612,2,Villa Comaltitlán
613,19,San Salvador
614,13,San José Teacalco
615,9,San Martín Texmelucan
616,7,Acatic
617,7,Atoyac
618,8,San Juan Ozolotepec
619,9,General Felipe Ángeles
620,25,Tecate
621,8,Villa de Etla
622,13,Amaxac de Guerrero
623,9,Domingo Arenas
624,27,Otzoloapan
625,21,Miguel Alemán
626,11,Parácuaro
627,3,Tampacán
628,8,San Antonino Monte Verde
629,3,Villa de Ramos
630,8,San Baltazar Yatzachi el Bajo
631,8,San Juan Bautista Valle Nacional
632,9,Tepatlaxco de Hidalgo
633,13,Cuapiaxtla
634,8,Santa María Tepantlali
635,31,Cadereyta Jiménez
636,27,Metepec
637,8,San Lucas Zoquiápam
638,2,Suchiapa
639,22,Leonardo Bravo
640,8,Ánimas Trujano
641,6,Nuevo Ideal
642,27,Tequixquiac
643,10,Mayapán
644,8,San Juan Tabaá
645,19,Jacala de Ledezma
646,9,Izúcar de Matamoros
647,30,Cuernavaca
648,4,Córdoba
649,4,Tequila
650,11,José Sixto Verduzco
651,28,Fresnillo
652,10,Oxkutzcab
653,9,Chilchotla
654,28,Concepción del Oro
655,24,Celaya
656,4,Texhuacán
657,10,Suma
658,8,Santo Domingo Tlatayápam
659,8,Santiago Ayuquililla
660,8,El Barrio de la Soledad
661,8,Santa Marí Temaxcaltepec
662,8,San Juan Evangelista Analco
663,31,Hidalgo
664,31,General Zaragoza
665,10,Tinum
666,4,Acultzingo
667,3,Tancanhuitz
668,8,San Cristóbal Amoltepec
669,9,San Pedro Cholula
670,8,San Simón Zahuatlán
671,2,Jitotol
672,8,Santa María Huazolotitlán
673,22,San Miguel Totolapan
674,5,Riva Palacio
675,22,Tecoanapa
676,27,Almoloya del Río
677,8,San Pablo Huixtepec
678,22,San Luis Acatlán
679,24,Santiago Maravatío
680,28,Teúl de González Ortega
681,7,San Juan de los Lagos
682,4,La Antigua
683,9,Cuautempan
684,9,Yehualtepec
685,24,Dolores Hidalgo Cuna de la Independencia Nacional
686,8,San Miguel Achiutla
687,8,Santa Marí Mixtequilla
688,27,Jiquipilco
689,7,Cañadas de Obregón
690,2,Emiliano Zapata
691,9,Huehuetla
692,27,Tepetlixpa
693,16,Amatlán de Cañas
694,8,Santa Lucía Monteverde
695,11,Huiramba
696,1,Sierra Mojada
697,19,Singuilucan
698,19,San Agustín Tlaxiaca
699,31,Melchor Ocampo
700,9,Hueytamalco
701,11,Jacona
702,9,Cuetzalan del Progreso
703,9,Teteles de Avila Castillo
704,29,Aconchi
705,4,Martínez de la Torre
706,19,Acatlán
707,5,Matachí
708,2,Teopisca
709,21,Antiguo Morelos
710,4,Los Reyes
711,4,Paso del Macho
712,19,Jaltocán
713,1,Cuatro Ciénegas
714,21,Camargo
715,19,Progreso de Obregón
716,1,Saltillo
717,19,Tenango de Doria
718,28,Ojocaliente
719,13,Huamantla
720,11,Venustiano Carranza
721,4,Tepetzintla
722,2,La Grandeza
723,7,Zapotlán del Rey
724,7,Juchitlán
725,10,Conkal
726,31,Agualeguas
727,22,Apaxtla
728,8,Yogana
729,7,San Pedro Tlaquepaque
730,21,Güémez
731,1,Hidalgo
732,9,Atoyatempan
733,8,Magdalena Peñasco
734,28,Zacatecas
735,8,San Agustín Amatengo
736,24,Atarjea
737,8,Santa Catarina Tayata
738,24,Huanímaro
739,4,Papantla
740,8,Santiago Apoala
741,8,San Cristóbal Amatlán
742,8,Santa Marí Tlalixtac
743,8,Santiago Nuyoó
744,4,Saltabarranca
745,25,Playas de Rosarito
746,4,Soledad de Doblado
747,8,Santiago Huauclilla
748,22,José Joaquín de Herrera
749,8,San Mateo Etlatongo
750,19,Xochicoatlán
751,8,Santiago Yaitepec
752,11,Tanhuato
753,7,Encarnación de Díaz
754,2,Cintalapa
755,19,Pachuca de Soto
756,5,Guachochi
757,29,Villa Hidalgo
758,8,San Juan Teposcolula
759,18,Cozumel
760,27,Zumpahuacán
761,5,Saucillo
762,8,Santo Tomás Tamazulapan
763,31,General Treviño
764,4,Mecayapan
765,2,Pantelhó
766,6,Peñón Blanco
767,5,Coronado
768,12,Xochimilco
769,29,Fronteras
770,28,Valparaíso
771,7,Jilotlán de los Dolores
772,7,Tecalitlán
773,4,Cerro Azul
774,9,Tecomatlán
775,17,Angostura
776,8,San Ildefonso Sola
777,9,Axutla
778,10,Ixil
779,4,Minatitlán
780,8,Ixpantepec Nieves
781,8,Chiquihuitlán de Benito Juárez
782,1,Jiménez
783,22,Tlacoapa
784,8,Cosoltepec
785,32,Centro
786,8,Constancia del Rosario
787,9,Cuayuca de Andrade
788,14,Huimilpan
789,8,Zimatlán de Álvarez
790,2,Mitontic
791,27,Atenco
792,27,San Antonio la Isla
793,8,Santiago Xanica
794,27,Morelos
795,4,Coscomatepec
796,3,Cerro de San Pedro
797,7,Ixtlahuacán del Río
798,5,Camargo
799,4,Huiloapan de Cuauhtémoc
800,10,Cuzamá
801,11,Ario
802,8,Santa María del Tule
803,19,Atotonilco de Tula
804,29,La Colorada
805,5,Buenaventura
806,4,Cosoleacaque
807,6,Mapimí
808,31,Pesquería
809,8,Asunción Ixtaltepec
810,13,San Francisco Tetlanohcan
811,8,San Francisco Huehuetlán
812,30,Tlayacapan
813,29,San Pedro de la Cueva
814,4,San Andrés Tenejapan
815,8,San Simón Almolongas
816,2,Ixtapangajoya
817,3,Axtla de Terrazas
818,30,Cuautla
819,21,Bustamante
820,8,Villa Díaz Ordaz
821,27,Soyaniquilpan de Juárez
822,4,Coatepec
823,4,Ixhuatlán de Madero
824,8,San Pedro Juchatengo
825,31,Doctor Coss
826,13,Calpulalpan
827,8,San Juan Yatzona
828,2,Bochil
829,8,San Pablo Etla
830,16,Jala
831,21,Gómez Farías
832,3,Tierra Nueva
833,27,San José del Rincón
834,5,Chihuahua
835,7,Atotonilco el Alto
836,29,Etchojoa
837,8,Santiago Lachiguiri
838,9,San Miguel Xoxtla
839,6,Santa Clara
840,4,Tatahuicapan de Juárez
841,19,Tizayuca
842,22,Chilapa de Álvarez
843,8,San Dionisio Ocotepec
844,8,San Pedro y San Pablo Teposcolula
845,8,San Francisco Logueche
846,8,Capulálpam de Méndez
847,7,Chapala
848,4,Isla
849,2,Tapilula
850,8,San Luis Amatlán
851,2,Huixtla
852,2,Salto de Agua
853,8,Santiago Tlazoyaltepec
854,8,Santa María Guelacé
855,4,Texcatepec
856,4,Emiliano Zapata
857,4,Comapa
858,22,Tlalchapa
859,9,Venustiano Carranza
860,24,San Luis de la Paz
861,3,Villa de Reyes
862,9,Coronango
863,10,Tahdziú
864,11,Tzintzuntzan
865,7,Ameca
866,24,Jaral del Progreso
867,8,Santa Marí Nativitas
868,19,Yahualica
869,10,Tepakán
870,31,San Nicolás de los Garza
871,24,San Miguel de Allende
